Pitch (MIDI);Time (s);Intensity
53;0.019999027;0.12074099
53;0.029939651;0.12153519
53;0.0203619;0.122042574
53;0.020032167;0.11745176
53;0.03490448;0.12491817
53;0.01501298;0.123370625
53;0.023099661;0.12849864
53;0.026919603;0.1391499
53;0.020179272;0.13924995
53;0.022799253;0.14780389
53;0.030003309;0.14106297
53;0.014212132;0.108570874
53;0.023751736;0.102061085
50;0.029985428;0.1063774
50;0.020269632;0.096485235
50;0.019694567;0.10574287
50;0.031259537;0.109407455
50;0.019033194;0.11183641
50;0.022327185;0.11937224
50;0.029772282;0.12212945
50;0.017506838;0.12333235
50;0.02023077;0.12211831
50;0.027346849;0.10882095
50;0.019755125;0.093553826
50;0.02322197;0.09018266
50;0.019825697;0.070197225
50;0.026458025;0.11372855
52;0.025121212;0.09952891
52;0.02056098;0.10278234
52;0.027889729;0.10098248
52;0.019638062;0.10421925
52;0.02020669;0.10496855
52;0.026773453;0.10318387
52;0.019971132;0.107144825
52;0.019989014;0.10904115
52;0.034821033;0.10580136
52;0.019988537;0.10738703
52;0.020463705;0.10986417
52;0.024988174;0.109999485
52;0.01998806;0.11463225
52;0.020205975;0.11369293
52;0.030327559;0.11498269
52;0.024089336;0.121195644
52;0.019996166;0.12849781
52;0.029982328;0.11777251
52;0.019989729;0.11486612
52;0.016072512;0.1027163
52;0.029773712;0.10322915
52;0.019990444;0.082515635
48;0.020209551;0.08622075
48;0.030326605;0.07708812
48;0.020208359;0.072079115
48;0.01999402;0.06242974
48;0.029975414;0.061078675
48;0.02011776;0.057266865
48;0.0198524;0.052533735
48;0.020220041;0.04781788
48;0.029753208;0.043879423
48;0.020219088;0.028409535
52;0.019955397;0.006552277
52;0.033147097;0.009849945
48;0.020032406;0.009681123
52;0.019988537;0.003919578
52;0.02717042;0.004787535
52;0.024987221;0.003326651
52;0.01522994;0.004875285
52;0.143176794;0.02045309
72;0.027042866;0.109999016
72;0.018203259;0.10437866
43;0.024771929;0.09684561
49;0.029983521;0.084555596
49;0.017164469;0.07584718
49;0.01999712;0.06976131
43;0.0299685;0.05940409
43;0.020000458;0.049763277
43;0.020325422;0.042842247
43;0.030180931;0.03472088
43;0.022003174;0.029331602
43;0.019989491;0.021702034
43;0.015026569;0.015341593
43;0.030162096;0.011470703
