Pitch (MIDI);Time (s);Max Intensity;Max Intensity change;Pitch-duration (s);
54;27.44126463;0.09994111;1.21757102;0.020132065;FALSO
47;27.47006464;0.12271008;1.227823853;0.070531607;FALSO
71;27.54158926;0.078854434;1.511356115;0.029793024;FALSO
47;27.56180954;0.11792636;1.44764185;0.069440842;FALSO
71;27.65312457;0.055654638;0.764151037;0.042094469;FALSO
67;27.9081285;0.057864353;1.039704084;0.255003929;FALSO
55;27.96143556;0.12811232;1.634074807;0.162961721;FALSO
43;28.10316181;0.094129086;1.202794313;0.068871975;FALSO
42;28.16137767;0.0852385;1.131983161;0.021415472;FALSO
62;28.19143271;0.11570719;1.357452154;0.048567295;FALSO
55;28.23143435;0.08866859;1.13130343;0.051273823;FALSO
43;28.28174257;0.09816668;1.184328437;0.037780046;FALSO
62;28.32819033;0.080789596;0.822983861;0.029191494;FALSO
55;28.3531673;0.0716363;0.886702001;0.04136014;FALSO
107;28.40359759;0.08811515;1.500249028;0.034047127;FALSO
108;28.4224422;0.09156655;1.039169192;0.018844604;FALSO
80;28.44159007;0.09218108;1.202160716;0.06896019;FALSO
97;28.51154447;0.12940763;1.403841496;0.020142078;FALSO
62;28.54137778;0.08706655;0.845043719;0.048792124;FALSO
79;28.58115911;0.062285032;0.846551061;0.020822525;FALSO
70;28.61112356;0.10973857;1.346787572;0.070131302;FALSO
74;28.68080759;0.12687369;2.018529892;0.039143085;FALSO
62;28.75326014;0.10613069;0.836506724;0.03330946;FALSO
55;28.77111673;0.09900716;0.932879627;0.035616636;FALSO
74;28.80867028;0.11836936;1.926468134;0.091443539;FALSO
62;28.93164849;0.12957282;1.351965189;0.171620131;FALSO
60;29.0703392;0.10644466;0.821504474;0.03942585;FALSO
42;29.12121868;0.056767065;0.731787741;0.02985239;FALSO
66;29.14029002;0.1254768;1.610335112;0.040001154;FALSO
59;29.19092941;0.06340476;0.505310595;0.029709578;FALSO
54;29.2612431;0.10582371;1.669018388;0.070313692;FALSO
61;29.28149486;0.18215126;1.7212708;0.020251751;FALSO
74;29.29999328;0.17793068;0.97682929;0.048573732;FALSO
73;29.35322022;0.15400897;1.008447528;0.091272354;FALSO
61;29.44139457;0.100758545;1.122854233;0.05056262;FALSO
60;29.49001122;0.11022844;1.093986034;0.03931284;FALSO
61;29.5317893;0.05399549;0.800438702;0.020572901;FALSO
74;29.55978298;0.07434992;1.376965284;0.027993679;FALSO
72;29.58115292;0.12879632;1.449465036;0.042114973;FALSO
74;29.63137865;0.14563383;1.130729675;0.048257589;FALSO
72;29.67143512;0.14240995;1.496371269;0.051329851;FALSO
61;29.71985912;0.15544781;1.399162889;0.178202629;FALSO
74;29.91031909;0.14070408;0.959877431;0.030631065;FALSO
61;29.93124938;0.17410876;1.197672129;0.041211843;FALSO
73;29.98000479;0.18675487;1.314229608;0.229541779;FALSO
61;30.21164632;0.18613616;1.508710027;0.070299387;FALSO
73;30.28113127;0.15000898;0.805909932;0.049016237;FALSO
74;30.32112885;0.1194626;1.015843749;0.120982409;FALSO
65;30.46171379;0.1005934;1.684497476;0.040343046;FALSO
66;30.4897902;0.09896562;1.212291718;0.069677114;FALSO
74;30.56215215;0.10793848;1.090666413;0.070475101;FALSO
55;30.63158369;0.10311942;1.056661487;0.029717684;FALSO
74;30.65007949;0.1192572;1.156496048;0.090228796;FALSO
62;30.74134922;0.1281759;1.182358623;0.049478769;FALSO
61;30.79113698;0.09115217;0.90216738;0.019845724;FALSO
54;30.80996537;0.09621302;1.055520892;0.018828392;FALSO
72;30.84248281;0.09569804;0.994647563;0.092773199;FALSO
71;30.91074085;0.08687046;0.933952868;0.008002281;FALSO
66;30.94519019;0.08380351;0.964695156;0.034449339;FALSO
89;30.96917391;0.0773551;0.923053205;0.031978607;FALSO
62;30.99315858;0.09729441;1.567540526;0.02807045;FALSO
88;31.03183818;0.09174293;0.973168015;0.02659893;FALSO
71;31.04380751;0.07697475;0.839026451;0.011969328;FALSO
89;31.07450318;0.10445919;1.219556808;0.098770142;FALSO
88;31.16287637;0.08049672;1.032973528;0.020298719;FALSO
89;31.18305802;0.10530405;1.308178067;0.020181656;FALSO
108;31.21301889;0.09060112;0.934500337;0.070712805;FALSO
109;31.28143406;0.084945805;1.157524467;0.027663231;FALSO
110;31.30271435;0.084796;0.998236418;0.021280289;FALSO
74;31.32423878;0.08156382;0.961882949;0.021524429;FALSO
111;31.35300708;0.087952085;1.078322291;0.04674387;FALSO
